2025-05-31 11:24:11,754 - INFO - Starting comprehensive COALESCE analysis...
2025-05-31 11:24:11,754 - INFO - Starting Duration vs Cost Reduction analysis...
2025-05-31 11:24:11,754 - INFO - Running experiment dur_01: 1d, 15a, 30c
2025-05-31 11:24:13,470 - INFO - Running experiment dur_02: 3d, 15a, 30c
2025-05-31 11:24:15,236 - INFO - Running experiment dur_03: 5d, 15a, 30c
2025-05-31 11:24:17,092 - INFO - Running experiment dur_04: 7d, 15a, 30c
2025-05-31 11:24:18,964 - INFO - Running experiment dur_05: 10d, 15a, 30c
2025-05-31 11:24:20,865 - INFO - Running experiment dur_06: 15d, 15a, 30c
2025-05-31 11:24:22,980 - INFO - Running experiment dur_07: 20d, 15a, 30c
2025-05-31 11:24:25,147 - INFO - Running experiment dur_08: 25d, 15a, 30c
2025-05-31 11:24:27,113 - INFO - Running experiment dur_09: 30d, 15a, 30c
2025-05-31 11:24:29,544 - INFO - Starting Agent Count vs Cost Reduction analysis...
2025-05-31 11:24:29,545 - INFO - Running experiment agt_01: 7d, 5a, 10c
2025-05-31 11:24:31,460 - INFO - Running experiment agt_02: 7d, 10a, 20c
2025-05-31 11:24:33,330 - INFO - Running experiment agt_03: 7d, 15a, 30c
2025-05-31 11:24:35,160 - INFO - Running experiment agt_04: 7d, 20a, 40c
2025-05-31 11:24:37,115 - INFO - Running experiment agt_05: 7d, 25a, 50c
2025-05-31 11:24:39,068 - INFO - Running experiment agt_06: 7d, 30a, 60c
2025-05-31 11:24:41,033 - INFO - Running experiment agt_07: 7d, 40a, 80c
2025-05-31 11:24:43,077 - INFO - Running experiment agt_08: 7d, 50a, 100c
2025-05-31 11:24:45,983 - INFO - Duration analysis plot saved to analysis_results/duration_analysis.png
2025-05-31 11:24:46,709 - INFO - Agent analysis plot saved to analysis_results/agent_analysis.png
2025-05-31 11:24:47,109 - INFO - Analysis complete!
