decision,topsis_score,confidence,cost_savings,time_savings,contractor_name,contractor_specialization
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9579125033469833,1.0,295.7119748315579,204.6239851938828,Premium GPU Specialist_001,gpu_specialist
OUTSOURCE,0.9579125033469833,0.8925523208413788,236.8347689747078,173.90188228883835,Premium GPU Specialist_001,gpu_specialist
OUTSOURCE,0.9579125033469833,0.8113989120647223,165.2845109556499,165.33388995683416,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7491048343227424,0.0,0.0,,
LOCAL,0.0,0.7755005567935636,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7975720704382256,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9579597597160531,0.81625,71.01509648520778,238.26700066702443,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7762965529076646,0.0,0.0,,
LOCAL,0.0,0.7946771420554618,0.0,0.0,,
OUTSOURCE,0.9574476731514393,0.8106716469952417,63.76211892165366,177.94872815216576,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7808653382050206,0.0,0.0,,
LOCAL,0.0,0.7963299691130737,0.0,0.0,,
OUTSOURCE,0.9572738105434153,0.8100575436104562,219.291761665204,139.3727977196929,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7867713470164175,0.0,0.0,,
LOCAL,0.0,0.7999583376727071,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.957139484898612,0.81184,153.18704605718762,104.20998841724281,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7930220481464704,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9573387727601667,0.8044136865856379,371.6686992463978,229.9040444120669,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7883398951148328,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7991929032678501,0.0,0.0,,
OUTSOURCE,0.9569055415729849,0.8091491177404222,331.22615203040897,212.67366106576046,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,0.7955975788546896,0.0,0.0,,
OUTSOURCE,0.9569836064210896,0.8051036934354578,138.4779581099224,119.21108127375348,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.793216845046565,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9569443972733721,0.8022722194827545,71.2706061506534,224.5046413986476,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7917539916348935,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9571286173831478,0.8003703703703704,125.4247339539797,195.2622015938679,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7909911253285403,0.0,0.0,,
LOCAL,0.0,0.7991869565791824,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9574161229546404,0.8068608114104795,337.5944045230684,177.2484971927132,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,0.7985629130472742,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9575766538618241,0.8058874413208935,169.3010719716052,205.39667135013715,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,0.7983769560495333,0.0,0.0,,
OUTSOURCE,0.9575899760996219,0.8053692665150385,49.82266652093033,80.4626447761488,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7985356015775853,0.0,0.0,,
OUTSOURCE,0.9576458472117038,0.8052136339600183,341.9254510790192,212.78402875292664,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7989660980427142,0.0,0.0,,
OUTSOURCE,0.9578262275323177,0.8053478241117458,303.5383263607809,203.39662700932186,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7996113440687673,0.0,0.0,,
OUTSOURCE,0.9579626481644294,0.8057142857142857,23.22100485085922,82.84007565755988,Premium GPU Specialist_001,gpu_specialist
OUTSOURCE,0.9579626481644294,0.8004261820779088,406.7840789465591,206.60071238857736,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9568440061562098,0.8004261820779088,435.64577764279795,228.6450956520028,Premium GPU Specialist_001,gpu_specialist
OUTSOURCE,0.9568440061562098,0.8004261820779088,228.236407517776,208.06320741432506,Premium GPU Specialist_001,gpu_specialist
OUTSOURCE,0.9568440061562098,0.8004261820779088,356.4844288217766,192.63543985108083,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
OUTSOURCE,0.9564879883054174,0.8004261820779088,31.372565249207184,215.00928793402423,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7893387477489038,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.95601995704265,0.8004261820779088,329.44581787836523,234.5715484161235,Premium GPU Specialist_001,gpu_specialist
