decision,topsis_score,confidence,cost_savings,time_savings,contractor_name,contractor_specialization
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.8784573688805418,1.0,-32.04099909576949,13.79179052556698,High-Throughput CPU_006,cpu_specialist
OUTSOURCE,0.5,0.7,84.3645847470894,124.40852393927847,Hybrid Cloud_011,hybrid_cloud
OUTSOURCE,0.9894473846251698,0.8925523208413788,-8.55872562185641,82.91642913770025,Premium GPU Specialist_025,gpu_specialist
OUTSOURCE,0.9894473846251698,0.8113989120647223,91.42785907923445,212.57297796888145,Premium GPU Specialist_025,gpu_specialist
LOCAL,0.0,0.7491048343227424,0.0,0.0,,
OUTSOURCE,0.5,0.7,5.142471827392065,13.661328275592838,Hybrid Cloud_011,hybrid_cloud
LOCAL,0.0,0.7755005567935636,0.0,0.0,,
OUTSOURCE,0.5,0.7,138.30566774291094,142.70215578714232,Budget Provider_003,budget_provider
LOCAL,0.0,0.7975720704382256,0.0,0.0,,
OUTSOURCE,0.9894781205177533,0.81625,165.55567053864758,163.33700878841373,Premium GPU Specialist_025,gpu_specialist
LOCAL,0.0,0.7762965529076646,0.0,0.0,,
LOCAL,0.0,0.7946771420554618,0.0,0.0,,
OUTSOURCE,0.5,0.7,9.850134675304005,131.37151196632948,Premium GPU Specialist_028,gpu_specialist
OUTSOURCE,0.8809101526421855,0.8106716469952417,31.898586687945304,71.7689887861449,High-Throughput CPU_006,cpu_specialist
LOCAL,0.0,0.7808653382050206,0.0,0.0,,
