total_tasks,outsourcing_rate,market_demand,market_supply,cost_reduction,time_savings,avg_topsis_score,avg_confidence
2,0.0,0.45247142584036754,0.6804908657869664,0.0,0.0,0.0,1.0
5,0.0,0.6289362596073012,0.7512592123608111,0.0,0.0,0.0,1.0
7,0.0,0.5520958189875281,0.7852528876086734,0.0,0.0,0.0,1.0
7,0.0,0.5347603031268079,0.7501241189988341,0.0,0.0,0.0,1.0
11,0.0,0.49085852011978554,0.8322384948674555,0.0,0.0,0.0,0.9400000000000001
16,0.0,0.5817993221974855,0.7476454957546299,0.0,0.0,0.0,0.9200000000000002
18,0.0,0.5736667833458868,0.8096778418855994,0.0,0.0,0.0,0.8800000000000001
25,0.0,0.7228973802490423,0.7450909090336293,0.0,0.0,0.0,0.9
31,0.0,0.685568784148,0.8192916452827685,0.0,0.0,0.0,0.9400000000000001
32,0.0,0.2982658498493169,0.7603249661189624,0.0,0.0,0.0,0.96
34,0.029411764705882353,0.7197213987138152,0.8491438043828032,0.037069611450284555,0.02368990324043259,0.7609594431963969,0.9800000000000001
38,0.05263157894736842,0.4828095126879913,0.8532356965070327,0.047193836006761046,0.03755068228753081,0.7610088828470001,0.9892552320841379
41,0.07317073170731707,0.4151100593568932,0.7691518109127711,0.04680421256493345,0.048424336760974476,0.760984774972966,0.9703951232906102
44,0.06818181818181818,0.55618599608451,0.7852730889340502,0.04284880671300256,0.044075079295740636,0.7609974408612505,0.9228556624022406
46,0.06521739130434782,0.4951249602207009,0.8295380653692045,0.04086644275618093,0.04243743495770535,0.7609974408612505,0.9026128694460631
50,0.08,0.5366528151125233,0.8308202782892291,0.04883077761440577,0.048225483321480175,0.759957609134997,0.8726122926526919
51,0.0784313725490196,0.5203021863488053,0.7458365564573969,0.04582768231069645,0.04653827624699518,0.7589786590450961,0.8709401156517659
52,0.07692307692307693,0.4587864027330173,0.893295167818067,0.0450856491290132,0.046002723781547475,0.7589786590450961,0.8709401156517658
