duration,agents,contractors,run_id,timestamp,total_tasks,cost_reduction,time_savings,outsourcing_rate,topsis_score,experiment_type,experiment_id
1,15,30,1,2025-05-31T23:21:57.357024,51,42.3,53.2,31.4,0.735,duration,dur_01
1,15,30,2,2025-05-31T23:21:58.981852,53,39.6,28.7,26.4,0.766,duration,dur_01
1,15,30,3,2025-05-31T23:22:00.636511,62,33.7,34.7,29.0,0.783,duration,dur_01
1,15,30,4,2025-05-31T23:22:02.285826,61,35.6,40.6,31.1,0.795,duration,dur_01
1,15,30,5,2025-05-31T23:22:03.942504,48,23.6,35.0,31.2,0.817,duration,dur_01
1,15,30,6,2025-05-31T23:22:05.623944,43,26.0,28.4,25.6,0.843,duration,dur_01
1,15,30,7,2025-05-31T23:22:07.290261,40,26.8,36.4,27.5,0.721,duration,dur_01
1,15,30,8,2025-05-31T23:22:08.938043,50,34.8,29.3,26.0,0.808,duration,dur_01
1,15,30,9,2025-05-31T23:22:10.577993,44,74.0,72.0,36.4,0.77,duration,dur_01
1,15,30,10,2025-05-31T23:22:12.232779,44,33.3,34.4,27.3,0.78,duration,dur_01
1,15,30,11,2025-05-31T23:22:13.945936,55,28.9,33.8,30.9,0.685,duration,dur_01
1,15,30,12,2025-05-31T23:22:15.577853,50,43.6,50.0,34.0,0.65,duration,dur_01
1,15,30,13,2025-05-31T23:22:17.270495,62,34.0,33.1,25.8,0.776,duration,dur_01
1,15,30,14,2025-05-31T23:22:19.017738,49,32.2,36.5,34.7,0.762,duration,dur_01
1,15,30,15,2025-05-31T23:22:20.690801,50,16.7,25.4,24.0,0.854,duration,dur_01
1,15,30,16,2025-05-31T23:22:22.490082,49,32.7,30.0,28.6,0.845,duration,dur_01
1,15,30,17,2025-05-31T23:22:24.146585,45,29.3,25.0,22.2,0.736,duration,dur_01
1,15,30,18,2025-05-31T23:22:25.786870,60,25.4,29.7,25.0,0.841,duration,dur_01
1,15,30,19,2025-05-31T23:22:27.445749,59,32.6,35.7,30.5,0.678,duration,dur_01
1,15,30,20,2025-05-31T23:22:29.085792,44,53.2,59.2,34.1,0.814,duration,dur_01
3,15,30,1,2025-05-31T23:22:30.913592,228,31.7,33.7,31.1,0.793,duration,dur_02
3,15,30,2,2025-05-31T23:22:32.619855,218,45.1,49.0,33.5,0.754,duration,dur_02
3,15,30,3,2025-05-31T23:22:34.384194,208,35.1,37.1,31.7,0.797,duration,dur_02
3,15,30,4,2025-05-31T23:22:36.160893,233,41.4,41.9,32.6,0.786,duration,dur_02
3,15,30,6,2025-05-31T23:22:39.278497,228,38.5,49.7,33.8,0.746,duration,dur_02
3,15,30,7,2025-05-31T23:22:41.051022,230,30.9,35.7,30.9,0.799,duration,dur_02
3,15,30,8,2025-05-31T23:22:42.751850,224,47.2,47.1,32.1,0.773,duration,dur_02
3,15,30,9,2025-05-31T23:22:44.493287,203,27.2,38.3,32.5,0.771,duration,dur_02
3,15,30,10,2025-05-31T23:22:46.248486,228,32.8,38.6,32.0,0.818,duration,dur_02
3,15,30,12,2025-05-31T23:22:49.306074,225,26.2,29.0,29.3,0.791,duration,dur_02
3,15,30,13,2025-05-31T23:22:51.077010,242,37.7,41.0,32.2,0.779,duration,dur_02
3,15,30,14,2025-05-31T23:22:52.767431,229,42.2,42.8,37.1,0.747,duration,dur_02
