decision,topsis_score,confidence,cost_savings,time_savings,contractor_name,contractor_specialization
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.5,0.7,236.25467058108396,169.07120726239424,Premium GPU Specialist_010,gpu_specialist
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.5,0.7,10.293175372082409,145.88583641066455,Premium GPU Specialist_042,gpu_specialist
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.5,0.7,-31.75285071626965,79.62381225697423,Budget Provider_041,budget_provider
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.8263682698958508,1.0,93.2391249396708,97.17282127923195,High-Throughput CPU_048,cpu_specialist
OUTSOURCE,0.8277220962016962,0.8925523208413788,-31.30250645075212,31.6433060700231,High-Throughput CPU_048,cpu_specialist
OUTSOURCE,0.8260975940464139,0.8113989120647223,22.320906680661935,58.15446801520757,High-Throughput CPU_048,cpu_specialist
OUTSOURCE,0.5,0.7,-11.929836747274607,69.08926995716304,High-Throughput CPU_083,cpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7491048343227424,0.0,0.0,,
LOCAL,0.0,0.7755005567935636,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7975720704382256,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.8279039191793643,0.81625,99.59881033987419,105.89835214495787,High-Throughput CPU_048,cpu_specialist
LOCAL,0.0,0.7762965529076646,0.0,0.0,,
