total_tasks,outsourcing_rate,market_demand,market_supply,cost_reduction,time_savings,avg_topsis_score,avg_confidence
3,0.0,0.4370653912622382,0.920223336833486,0.0,0.0,0.0,0.8666666666666667
6,0.0,0.3719231933029148,0.818816598556283,0.0,0.0,0.0,0.8999999999999999
8,0.0,0.740343622816632,0.8014223690130969,0.0,0.0,0.0,0.875
10,0.0,0.6063469747119609,0.8273034025093592,0.0,0.0,0.0,0.8800000000000001
12,0.0,0.4334729504853329,0.7336234571250688,0.0,0.0,0.0,0.86
12,0.0,0.6924711426670459,0.8218145100448775,0.0,0.0,0.0,0.86
15,0.0,0.51542448317291,0.7976435378242508,0.0,0.0,0.0,0.8600000000000001
17,0.0,0.4511700053217978,0.8125763138640371,0.0,0.0,0.0,0.8800000000000001
18,0.0,0.3266473611534551,0.7609556510887469,0.0,0.0,0.0,0.9
20,0.0,0.35578985748097897,0.7657060119347714,0.0,0.0,0.0,0.9199999999999999
22,0.0,0.4760643005168932,0.757607015812637,0.0,0.0,0.0,0.96
27,0.0,0.5182221765581575,0.7507589152687044,0.0,0.0,0.0,1.0
29,0.0,0.4838887759344421,0.7707077113314726,0.0,0.0,0.0,1.0
33,0.0,0.5625542529390088,0.7152271924828614,0.0,0.0,0.0,1.0
37,0.0,0.5412793018621304,0.7820569022267058,0.0,0.0,0.0,1.0
40,0.0,0.6147146818816481,0.7527423402183218,0.0,0.0,0.0,1.0
43,0.0,0.6062011803606593,0.7959863909404342,0.0,0.0,0.0,1.0
45,0.0,0.5167438109404342,0.7030997664107984,0.0,0.0,0.0,1.0
46,0.0,0.4017104735098399,0.7279170035649785,0.0,0.0,0.0,1.0
46,0.0,0.4392689964427792,0.7952207325916602,0.0,0.0,0.0,1.0
49,0.0,0.5585194593432022,0.744209627379134,0.0,0.0,0.0,1.0
51,0.0,0.7052301372407941,0.8349634225537215,0.0,0.0,0.0,1.0
54,0.0,0.5720178362364525,0.8034131535768629,0.0,0.0,0.0,1.0
56,0.0,0.5193343196111224,0.8301736166010631,0.0,0.0,0.0,1.0
62,0.0,0.480414401112515,0.8615572059490387,0.0,0.0,0.0,1.0
66,0.0,0.5212625051089502,0.7379295542166274,0.0,0.0,0.0,1.0
67,0.0,0.4755760321332612,0.7734365954626546,0.0,0.0,0.0,1.0
69,0.0,0.5587093308459855,0.8227462653574455,0.0,0.0,0.0,1.0
72,0.0,0.7283942360096561,0.86870922546838,0.0,0.0,0.0,1.0
74,0.0,0.4211783775938871,0.821237917268761,0.0,0.0,0.0,1.0
75,0.0,0.6052958406820713,0.8252669282399553,0.0,0.0,0.0,1.0
75,0.0,0.41321457880357515,0.8163149120307419,0.0,0.0,0.0,1.0
77,0.0,0.6110690581566378,0.7962854885010614,0.0,0.0,0.0,1.0
79,0.0,0.6003529076958992,0.8146594839500807,0.0,0.0,0.0,1.0
83,0.0,0.4715285315096862,0.7620278408849697,0.0,0.0,0.0,1.0
84,0.0,0.5570638464080468,0.8144464524399169,0.0,0.0,0.0,1.0
85,0.0,0.49144350683037197,0.9089679768516936,0.0,0.0,0.0,1.0
89,0.0,0.6030246761077843,0.775090996665052,0.0,0.0,0.0,1.0
91,0.0,0.7490053786595576,0.8289232180313375,0.0,0.0,0.0,1.0
97,0.0,0.5946144415772348,0.7454114235860838,0.0,0.0,0.0,1.0
97,0.0,0.5073192777747857,0.8155308704820335,0.0,0.0,0.0,1.0
99,0.0,0.33965875660398354,0.7540482094719033,0.0,0.0,0.0,1.0
101,0.0,0.5963750319486357,0.7893430908798539,0.0,0.0,0.0,1.0
103,0.0,0.4770469470290673,0.8801239004086366,0.0,0.0,0.0,1.0
104,0.0,0.4328904516412435,0.8058471597039352,0.0,0.0,0.0,1.0
107,0.0,0.37175924001663807,0.704874642578665,0.0,0.0,0.0,1.0
115,0.0,1.6209263613070541,0.7331363565032607,0.0,0.0,0.0,1.0
120,0.0,1.6438175472220184,0.813763812233954,0.0,0.0,0.0,1.0
